Course;Year;Name;ID;Age;Password
SD;Y4;Arif;S00167749;21;qwer
SD;Y5;Arif1;S00162350;22;12345
SD;Y6;Arif2;S00167541;23;12345
SD;Y7;Arif3;S00167752;24;12345
GD;Y8;Arif4;S00167753;25;12345
GD;Y9;Arif5;S00167754;26;12345
GD;Y10;Arif6;S00167755;27;12345
GD;Y11;Arif7;S00167756;28;12345
WD;Y12;Arif8;S00167757;29;12345
WD;Y13;Arif9;S00167758;30;12345
WD;Y14;Arif10;S00167759;31;12345
WD;Y15;Arif11;S00167760;32;12345
ND;Y16;Arif12;S00167761;33;12345
ND;Y17;Arif13;S00167762;34;12345
ND;Y18;Arif14;S00167763;35;12345
ND;Y19;Arif15;S00167764;36;12345
SD;Y4;Arif;S00167749;21;qwer
